"","EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"21",3,3,2,3,4,3,1,5,1,2,5,1,5,1,3,3,4,3,5,4,2,4,4,4,2,4,3,3,4,3,4,3,4,2,3,2,4,2,3,4,3,2,4,3,3,2,3,3,4,3,5929,7401,3322,5263,2361,2215,4464,3768,3104,4241,4368,3032,3456,3208,2857,4167,2123,2904,2424,2152,10291,2839,5063,3153,3831,6472,3537,4864,3760,2743,5588,11895,1775,2744,2947,2249,3023,3008,2432,2817,7000,2928,2328,3565,2655,4136,2077,1856,4327,2207,"2016-03-03 02:19:29",1280,800,14,193,10,1,"GB","51.5","-0.13"
"22",3,2,2,4,4,4,5,3,1,3,3,3,4,4,3,3,5,4,3,4,1,5,1,4,5,3,2,3,4,2,3,3,2,2,2,2,4,3,2,2,3,4,3,2,2,5,3,2,1,2,4531,7268,8539,8341,5960,10018,7010,6776,5771,8411,4333,5324,4476,5918,5290,2687,3592,6369,2855,5311,18241,5808,5324,7424,7624,4529,6419,16404,5451,5441,10968,5064,3698,5150,7550,6159,3651,6258,4131,9393,2613,4145,3856,4080,3495,NA,3945,4079,3782,3324,"2016-03-03 02:22:02",1366,768,8,305,17,1,"US","34.1073","-118.3719"
"23",1,4,3,4,2,3,2,5,2,5,3,4,4,3,2,3,2,2,2,1,1,4,1,5,2,4,2,5,4,3,4,1,4,1,2,2,4,2,3,3,2,2,3,2,3,3,3,1,5,3,4514,2283,2899,1550,3529,851,3598,2452,2193,3293,2350,2622,2047,2334,3777,2480,2349,2234,4871,1545,2096,1163,1682,1563,2634,1769,2268,5077,3774,3266,5612,6909,2099,2683,1518,3699,1766,2552,2540,2577,14445,2883,2301,3950,2004,4918,4381,3716,1088,1125,"2016-03-03 02:22:12",1280,1024,14,161,22,1,"GB","51.4629","-2.5589"
"24",3,4,4,3,3,4,2,2,0,5,5,4,5,1,4,1,1,1,1,1,1,5,1,4,1,5,1,4,4,4,1,4,5,1,5,5,5,3,3,5,5,4,NA,4,5,1,5,4,5,4,25037,14300,10632,11616,16800,7100,13751,19083,0,7900,10434,3367,5201,8284,8054,15117,6900,8350,5267,5418,1184,13532,8952,6434,5200,14333,6348,1334,7567,7615,11950,8350,5916,8366,8196,9316,6734,10150,7083,12184,6949,7401,5300,9116,5084,6884,6250,8266,7517,5666,"2016-03-03 02:22:24",320,568,31,435,19,1,"BR","-23.5475","-46.6361"
"25",1,5,1,4,1,5,1,5,1,5,5,1,5,1,4,5,3,2,5,5,1,3,2,4,2,3,2,4,5,2,4,2,5,4,2,2,3,NA,2,3,4,2,4,3,2,3,5,4,5,2,9121,5466,3049,6298,2700,3265,2632,3485,3102,786,4732,3484,3782,4214,5336,2600,800,4933,6695,2748,4766,2967,3550,3966,1551,850,3431,8415,2669,6431,3834,3600,3403,4705,6498,8035,3502,3550,1169,4299,3717,4834,3215,4367,3031,4185,5734,3680,2883,2286,"2016-03-03 02:22:56",320,568,11,211,34,1,"AU","-27.0","133.0"
"26",2,2,3,5,5,3,5,5,4,5,4,4,5,2,2,4,5,3,3,4,2,5,5,5,2,5,1,5,5,4,2,4,3,4,1,3,3,4,5,2,3,5,4,4,3,3,5,2,5,3,11359,5374,8364,3595,3371,3433,3646,5400,4161,3744,3741,3850,3221,1226,9281,5463,3017,3899,2936,2940,5035,3683,2962,3343,7189,3396,6950,3995,3045,3431,3798,5111,3852,3474,1388,4997,1492,6226,2501,5108,4355,3225,3668,10590,4343,5044,3362,3582,3558,3780,"2016-03-03 02:23:08",360,640,22,220,16,1,"CA","42.3997","-82.1996"
"27",4,1,5,3,5,1,5,5,5,1,5,2,3,2,3,1,3,1,4,2,1,5,1,5,1,5,1,5,5,5,3,1,4,1,2,1,3,1,5,5,4,1,5,1,3,1,5,1,5,4,6901,8463,4904,29156,1752,2463,3070,2623,2349,2360,2681,3147,4322,727428,4601,2351,5420,1804,2742,2528,2512,11541,3244,3905,2558,2679,3114,2257,3012,3189,2916,1569,2730,2431,5644,4467,3781,7447,2488,2184,3178,4648,14212,4632,1630,3041,2794,3173,3209,2638,"2016-03-03 02:23:23",1600,1200,24,940,8,3,"GB","51.5","-0.13"
"28",1,3,1,5,1,4,1,5,1,5,3,2,4,5,3,2,1,1,3,1,5,4,3,3,4,3,2,1,2,2,4,4,3,2,3,4,3,2,2,3,4,3,5,3,4,1,4,4,4,5,2313,4171,3011,2116,2258,3731,10906,2279,2767,2502,3347,3810,1624,2869,NA,5385,3002,3549,6171,1371,4986,3003,4022,5418,2775,4110,3444,4345,1614,8727,2862,3113,3731,2854,3301,8311,12554,2352,3410,1944,1498,3779,1631,6313,1851,1842,3647,2173,2617,2132,"2016-03-03 02:26:37",1366,768,4,189,5,1,"AU","-31.6448","152.7946"
"29",2,2,3,5,3,3,1,4,1,3,5,3,5,1,1,5,3,3,5,4,NA,4,2,4,2,4,1,5,3,3,3,5,3,4,1,4,4,3,4,3,3,4,4,3,3,1,3,3,4,3,2607,1955,2164,1408,3145,2024,2152,2100,1424,1880,1219,3324,1452,1476,2884,1536,1912,1256,1512,948,4251,1268,1356,1484,1831,1804,2892,2419,2364,1516,2172,2876,2672,2384,2724,1532,931,3356,1444,1640,2216,1856,1732,1735,NA,1732,1861,1540,1484,1184,"2016-03-03 02:27:49",1920,1080,275,99,4,1,"GB","51.5","-0.13"
"30",2,4,4,2,3,NA,3,3,3,3,5,3,5,2,5,5,4,4,4,4,1,4,1,5,2,5,1,3,4,3,4,1,3,2,5,1,5,2,4,3,5,2,5,2,4,1,3,4,5,3,6552,2912,1360,2368,1912,2816,1808,1350,2848,1584,1135,4594,1336,1752,2119,1474,1579,2112,1255,1336,1341,1208,2280,1640,1743,1344,2102,1792,1904,2072,1608,1712,1672,2752,1744,2984,1837,1544,1464,2536,1351,2350,2112,1752,1400,1744,1730,1640,1872,2016,"2016-03-03 02:28:06",2560,1440,7,101,8,1,"GB","51.5833","-3.2167"
